rundate,this_period,last_period,grp_name,apt1_apt_name,apt2_apt_name,total_pax_tp,total_pax_shd_tp,total_pax_cht_tp,total_pax_lp,total_pax_shd_lp,total_pax_cht_lp,total_pax_pc
15/04/05 14:21,2004,2003,Other UK Airports,CITY OF DERRY (EGLINTON),GLASGOW,14235,14235,0,15466,15466,0,-7.959394932
15/04/05 14:21,2004,2003,Other UK Airports,CITY OF DERRY (EGLINTON),INVERNESS,2,0,2,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,CITY OF DERRY (EGLINTON),MANCHESTER,11585,11585,0,14610,14534,76,-20.70499611
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,DURHAM TEES VALLEY,0,0,0,20,0,20,
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,EDINBURGH,0,0,0,58,0,58,
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,JERSEY,63152,63152,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,KIRKWALL,82,0,82,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,LEEDS BRADFORD,16,0,16,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,NEWQUAY,15,0,15,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,COVENTRY,WICK,0,0,0,74,0,74,
15/04/05 14:21,2004,2003,Other UK Airports,CRANFIELD,EDINBURGH,6,0,6,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,DUNDEE,JERSEY,1642,0,1642,1616,0,1616,1.608910918
15/04/05 14:21,2004,2003,Other UK Airports,DUNDEE,MANCHESTER,0,0,0,1381,1381,0,
15/04/05 14:21,2004,2003,Other UK Airports,DUNDEE,SCATSTA,125,0,125,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,DUNKESWELL,JERSEY,5,0,5,5,0,5,0
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,EDINBURGH,27,0,27,16,0,16,68.75
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,FARNBOROUGH,17,0,17,6,0,6,183.3333282
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,JERSEY,8305,6722,1583,3836,3797,39,116.501564
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,LEUCHARS,0,0,0,1,0,1,
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,LIVERPOOL,0,0,0,2,0,2,
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,NEWCASTLE,0,0,0,402,0,402,
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,SHEFFIELD CITY,4,0,4,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,DURHAM TEES VALLEY,SOUTHAMPTON,66,0,66,77,0,77,-14.28571415
15/04/05 14:21,2004,2003,Other UK Airports,EDAY,KIRKWALL,559,559,0,464,464,0,20.47413826
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,EXETER,35896,35896,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,FARNBOROUGH,67,0,67,72,0,72,-6.944444656
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,GLASGOW,0,0,0,330,122,208,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,INVERNESS,17109,17106,3,12701,12626,75,34.7059288
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,ISLE OF MAN,12739,12733,6,12689,12689,0,0.394042075
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,JERSEY,13085,11385,1700,20120,18042,2078,-34.96520996
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,KENT INTERNATIONAL,13796,13796,0,0,0,0,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,KIRKWALL,20697,20697,0,20446,20446,0,1.22762394
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,LEEDS BRADFORD,57422,57422,0,55127,54998,129,4.163114071
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,LIVERPOOL,0,0,0,1,0,1,
15/04/05 14:21,2004,2003,Other UK Airports,EDINBURGH,LYNEHAM,1,0,1,0,0,0,
