"apt1_apt_name","apt2_apt_name","total_pax_tp","grp_name","apt1_id","apt2_id"
"209","CARDIFF WALES","SOUTHAMPTON",0.0032,"Other Reporting Airports",20,54
"210","CITY OF DERRY (EGLINTON)","LIVERPOOL (JOHN LENNON)",9.0755,"Other Reporting Airports",21,46
"211","CITY OF DERRY (EGLINTON)","PRESTWICK",6.9454,"Other Reporting Airports",21,60
"212","DONCASTER SHEFFIELD","FARNBOROUGH",0,"Other Reporting Airports",22,30
"213","DONCASTER SHEFFIELD","JERSEY",0.3405,"Other Reporting Airports",22,41
"214","DUNDEE","DURHAM TEES VALLEY",0,"Other Reporting Airports",23,24
"215","DUNDEE","EAST MIDLANDS INTERNATIONAL",0,"Other Reporting Airports",23,25
"216","DUNDEE","HUMBERSIDE",0,"Other Reporting Airports",23,37
"217","DUNDEE","JERSEY",0.1674,"Other Reporting Airports",23,41
"218","DUNDEE","KIRKWALL",0,"Other Reporting Airports",23,42
"219","DUNDEE","MANCHESTER",0,"Other Reporting Airports",23,47
"220","DUNDEE","NEWCASTLE",0,"Other Reporting Airports",23,49
"221","DUNDEE","SOUTHAMPTON",0,"Other Reporting Airports",23,54
"222","DUNDEE","SUMBURGH",0,"Other Reporting Airports",23,56
"223","DURHAM TEES VALLEY","FARNBOROUGH",0.0105,"Other Reporting Airports",24,30
"224","DURHAM TEES VALLEY","JERSEY",0.1914,"Other Reporting Airports",24,41
"225","DURHAM TEES VALLEY","LIVERPOOL (JOHN LENNON)",0.0063,"Other Reporting Airports",24,46
"226","DURHAM TEES VALLEY","NEWCASTLE",0.014,"Other Reporting Airports",24,49
"227","DURHAM TEES VALLEY","SOUTHAMPTON",0.0014,"Other Reporting Airports",24,54
"228","EAST MIDLANDS INTERNATIONAL","EDINBURGH",8.6709,"Other Reporting Airports",25,27
"229","EAST MIDLANDS INTERNATIONAL","FARNBOROUGH",0.0036,"Other Reporting Airports",25,30
"230","EAST MIDLANDS INTERNATIONAL","GLASGOW",8.5531,"Other Reporting Airports",25,33
"231","EAST MIDLANDS INTERNATIONAL","GUERNSEY",2.8738,"Other Reporting Airports",25,35
"232","EAST MIDLANDS INTERNATIONAL","JERSEY",2.5998,"Other Reporting Airports",25,41
"233","EAST MIDLANDS INTERNATIONAL","LEEDS BRADFORD",0,"Other Reporting Airports",25,44
